%%%%%%%%%%%%                           %%%%%                       %%%%%%%%%     %%%%%%%%%%
%%%%%%%%%%%%%                          %%%%%                       %%%%%%%%%       %%%%%%%%
%%%%%%%%%%%%%%                         %%%%%%                      %%%%%%%%%          %%%%%
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%                   %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%                  %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%                  %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%                 %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%         %%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%%   %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%%     %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%%%        %%%%%%%%%               
%%%%%%%%%%%%%%%%%%                     %%%%%%%%%%%%%%%%%%          %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%%%%%            %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%%%              %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%%                %%%%%%%%%               
%%%%%%%%%%%%%%%%%                      %%%%%%%%%%%                 %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%%%                   %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%%                    %%%%%%%%%               
%%%%%%%%%%%%%%%%                       %%%%%%%                     %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%%                      %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%                       %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%%                       %%%%%%%%%               
%%%%%%%%%%%%%%%                        %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%%                         %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%          %               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%         %%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%%         %%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%         %%%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%        %%%%               %%%%                        %%%%%%%%%               
%%%%%%%%%%%%        %%%                %%%%                        %%%%%%%%%               
%%%%%%%%%%%        %%%%                %%%%                        %%%%%%%%%               
%%%%%%%%%%%        %%%                 %%%%                        %%%%%%%%%               
%%%%%%%%%%%       %%%%                 %%%%                        %%%%%%%%%               
%%%%%%%%%%        %%%                  %%%%                        %%%%%%%%%               
%%%%%%%%%%       %%%%                  %%%%                        %%%%%%%%%               
%%%%%%%%%        %%%                   %%%%                        %%%%%%%%%               
%%%%%%%%%       %%%%                   %%%%                        %%%%%%%%%               
%%%%%%%%%       %%%                    %%%%                        %%%%%%%%%               
%%%%%%%%       %%%%                    %%%%                        %%%%%%%%%               
%%%%%%%%       %%%                     %%%%                        %%%%%%%%%               
%%%%%%%%       %%%                     %%%%                        %%%%%%%%%               
%%%%%%%       %%%                      %%%%                        %%%%%%%%%               
%%%%%%%       %%%                      %%%%                        %%%%%%%%%               
%%%%%%        %%%                      %%%%                        %%%%%%%%%               
%%%%%%       %%%                       %%%%                        %%%%%%%%%               
%%%%%%       %%%                       %%%%                        %%%%%%%%%               
%%%%%        %%%                       %%%%                        %%%%%%%%%               
%%%%%       %%%                        %%%%                        %%%%%%%%%               
%%%%%     % %%%                        %%%%                        %%%%%%%%%               
%%%%     %  %%                         %%%%                        %%%%%%%%%               
%%%%     % %%%                         %%%%                        %%%%%%%%%               
%%%     %% %%%                         %%%%                        %%%%%%%%%               
%%%     %% %%%                         %%%%                        %%%%%%%%%               
%%%    %% %%%                          %%%%                        %%%%%%%%%               
%%     %% %%%                          %%%%                        %%%%%%%%%               
%%    %%  %%%                          %%%%                        %%%%%%%%%               
%     %%  %%                           %%%%                        %%%%%%%%%               
%     %% %%%                           %%%%                        %%%%%%%%%               
%    %%  %%%                           %%%%                        %%%%%%%%%               
     %%  %%                            %%%%                        %%%%%%%%%               
    %%% %%%                            %%%%                        %%%%%%%%%               
    %%  %%%                            %%%%                        %%%%%%%%%               
    %%  %%%                            %%%%                        %%%%%%%%%               
   %%   %%                             %%%%                        %%%%%%%%%               
   %%  %%%                             %%%%                        %%%%%%%%%              %
  %%%  %%%                             %%%%                        %%%%%%%%%              %
  %%   %%                              %%%%                        %%%%%%%%%              %
  %%  %%%                              %%%%                        %%%%%%%%%             %%
 %%   %%%                              %%%%                        %%%%%%%%%             %%
 %%   %%%                              %%%%                        %%%%%%%%%            %%%
 %   %%%                               %%%%                        %%%%%%%%%            %%%
%%   %%%                               %%%%                        %%%%%%%%%            %%%
%    %%%                               %%%%                        %%%%%%%%%           %%%%
%    %%                                %%%%                        %%%%%%%%%           %%%%
    %%%                                %%%%                        %%%%%%%%%          %%%%%
    %%%                                %%%%                        %%%%%%%%%          %%%%%
 .. %%                                 %%%%                        %%%%%%%%%          %%%%%
 . %%%                                 %%%%                        %%%%%%%%%         %%%%%%
.. %%%                                 %%%%                        %%%%%%%%%         %%%%%%
..%%%                                  %%%%                        %%%%%%%%%         %%%%%%
..%%%                                  %%%%                        %%%%%%%%%        %%%%%%%
. %%%                                  %%%%                        %%%%%%%%%        %%%%%%%
.%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
.%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
%%%%                                   %%%%                        %%%%%%%%%       %%%%%%%%
%%%                                    %%%%                        %%%%%%%%%      %%%%%%%%%
%%%                                    %%%%                        %%%%%%%%%      %%%%%%%%%
%%                                     %%%%                        %%%%%%%%%      %%%%%%%%%
%%                                     %%%%                        %%%%%%%%%     %%%%%%%%%%
%                                      %%%%                        %%%%%%%%%     %%%%%%%%%%
%                                      %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%    %%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%   %%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%  %%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%% %%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                       %%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                 %%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                %%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                              %%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                            %%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                          %%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                        %%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                      %%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                     %%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                   %%%%%%%%%%%%%%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                    %%         %%%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                %%%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                  %%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                  %%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                   %%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                    %%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                     %%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%
                                      %%%%%        %%%%%%          %%%%%%%%% %%%%%%%%%%%%%%
                                      %%%%%        %%%%%%%%        %%%%%%%%%  %%%%%%%%%%%%%
P                                      %%%%        %%%%%%%%%%      %%%%%%%%%   %%%%%%%%%%%%
